"gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"PDE4B",581,"PDE4B","OK","T2D",0.296817345927424,0.0603262991178317,4.92019816013691,1.01205699470423e-06,0.423593910559914,"count",0.000533875398903371
"TMEM167B",154,"TMEM167B","OK","T2D",0.602914492851431,0.156003662615793,3.86474575495252,0.000118448243918023,0.824996238252116,"count",0.0251456954893286
"TENT5C",491,"TENT5C","OK","T2D",0.261959639704791,0.0712243039914789,3.6779529602161,0.000247767277487439,0.372698295124644,"count",0.0431313276650134
"MCL1",452,"MCL1","OK","T2D",0.386703077113344,0.0739706022367464,5.22779408873383,2.09239249842717e-07,0.549745493881867,"count",0.000145697474450481
"LMNA",34,"LMNA","OK","T2D",1.48150594681434,0.345164533576068,4.2921731600441,1.94313443755185e-05,1.66808024080014,"count",0.00615019714343684
"CD55",822,"CD55","OK","T2D",0.23874223068518,0.0359121693491357,6.64794789655128,4.90333390156053e-11,0.342218014917681,"count",8.53572365583657e-08
"SDE2",135,"SDE2","OK","T2D",0.721161115533483,0.161920482194152,4.45379797392631,9.39669322151868e-06,0.977672532856655,"count",0.00333831909388158
"FOSL2",34,"FOSL2","OK","T2D",1.38574891417065,0.344481752911796,4.02270628983203,6.19121986627127e-05,1.59798266036554,"count",0.014968993810007
"YPEL5",733,"YPEL5","OK","T2D",0.313829858270152,0.04431928568921,7.08111273432724,2.70857798460781e-12,0.449411294775903,"count",5.89386569450660e-09
"REL",738,"REL","OK","T2D",0.185898820520195,0.0443587347643684,4.1908052947786,3.02809190633017e-05,0.266013397123858,"count",0.00841143002607624
"PELI1",378,"PELI1","OK","T2D",0.354670125769292,0.0875469935020793,4.051197095202,5.49431180349238e-05,0.502144958158892,"count",0.0134711239260839
"SERTAD2",205,"SERTAD2","OK","T2D",0.485288577768743,0.129954726785169,3.73428954662791,0.000198985989709783,0.674047644867913,"count",0.0384883123207545
"ARHGAP25",285,"ARHGAP25","OK","T2D",0.414454472215324,0.106443618351352,3.89365260815617,0.000105366195517303,0.582052270307906,"count",0.0226446263156199
"CXCR4",979,"CXCR4","OK","T2D",0.104737238481787,0.0185980238397715,5.63163266076735,2.32508317232749e-08,0.150576675891016,"count",2.24861377021539e-05
"NR4A2",693,"NR4A2","OK","T2D",0.334268232609151,0.0480108015584058,6.96235475682506,6.0874854269336e-12,0.478559458531658,"count",1.17745495902289e-08
"STAT4",16,"STAT4","OK","T2D",2.30708072332254,0.61938900514167,3.72476860934083,0.000206539301555676,1.87071352203174,"count",0.0386606038868947
"CMTM6",394,"CMTM6","OK","T2D",0.425679973005487,0.084584837303833,5.0325801476265,5.74577494984686e-07,0.602194699886494,"count",0.000370453519729386
"EPM2AIP1",148,"EPM2AIP1","OK","T2D",0.582757438894843,0.157411056137544,3.70213791327108,0.000225589528208206,0.796800316016999,"count",0.0413375000741942
"SELENOK",483,"SELENOK","OK","T2D",0.60950546520959,0.0705312802828564,8.64163336841823,2.19690652700053e-17,0.867051005315065,"count",1.27479162740084e-13
"HES1",178,"HES1","OK","T2D",0.663826930427632,0.149344262546698,4.44494431260833,9.78417720837357e-06,0.923265829177019,"count",0.00340645913686734
"AREG",474,"AREG","OK","T2D",0.341754920584063,0.0734185951869248,4.65488231849098,3.68247546938036e-06,0.486650890301567,"count",0.00156352519441398
"RASGEF1B",270,"RASGEF1B","OK","T2D",0.466125048283931,0.109144474043847,4.27071596952011,2.1361026545128e-05,0.653571302593027,"count",0.00661270083259984
"PTGER4",278,"PTGER4","OK","T2D",0.410906533881142,0.107455009810472,3.82398675134731,0.000139520269303185,0.578532106942963,"count",0.0289139148574981
"IRF1",562,"IRF1","OK","T2D",0.366275561451027,0.061642121193982,5.94196880893167,3.89699065554008e-09,0.522685195390141,"count",4.52258755544278e-06
"DOCK2",267,"DOCK2","OK","T2D",0.467241912441451,0.11045495654248,4.23015794915235,2.55182985728729e-05,0.655172707766656,"count",0.00752919561960291
"CD83",839,"CD83","OK","T2D",0.330284982177449,0.0349867029706283,9.44030028936213,2.57556173341344e-20,0.473867711933663,"count",4.48353786552612e-16
"RPS10",973,"RPS10","OK","T2D",-0.152669484612673,0.0194782968463267,-7.83792781356367,1.17873760948877e-14,-0.219409708037693,"count",5.12986607649513e-11
"CDKN1A",303,"CDKN1A","OK","T2D",0.52613386874417,0.102546457530438,5.13068789907251,3.47307759945353e-07,0.743813567167545,"count",0.000232535903274181
"RN7SK",815,"RN7SK","OK","T2D",0.177573557984581,0.0463294948199408,3.83284036820862,0.00013466251818368,0.254643470614835,"count",0.0282434351390542
"AL135905.2",314,"AL135905.2","OK","T2D",0.45720625320848,0.0993548762570049,4.60174951077196,4.73341833026352e-06,0.643677149923708,"count",0.00191626386728436
"BCLAF1",609,"BCLAF1","OK","T2D",0.236536702945416,0.0576371686863343,4.10389178262148,4.39694025949609e-05,0.337549578183845,"count",0.0115972630359557
"TNFAIP3",262,"TNFAIP3","OK","T2D",0.592853425252584,0.110101444453874,5.38461078501974,9.06905188108646e-08,0.833137280069044,"count",6.86408935417187e-05
"EZR",802,"EZR","OK","T2D",0.192841247932083,0.0385941951345942,4.99663867220352,6.89462350843854e-07,0.2763031056559,"count",0.000428648592981779
"TAGAP",778,"TAGAP","OK","T2D",0.296946120630486,0.0404641070624584,7.33850669612293,4.49598447155316e-13,0.425526895440642,"count",1.11808710972568e-09
"TRBC2",722,"TRBC2","OK","T2D",-0.19170650924203,0.0510113349487278,-3.75811590570443,0.000181206957221791,-0.273998174726178,"count",0.0358460308104197
"RPS20",731,"RPS20","OK","T2D",0.184646788857241,0.0440727980898672,4.18958624956679,3.04411817349956e-05,0.264475302428264,"count",0.00841143002607624
"YWHAZ",938,"YWHAZ","OK","T2D",0.0972381312962451,0.0244710504612795,3.97359857722924,7.59311531384942e-05,0.139555682665923,"count",0.0171663573225313
"PRXL2C",103,"PRXL2C","OK","T2D",0.720208504058396,0.188942742762325,3.81178177859078,0.000146488358933459,0.961811701093402,"count",0.0300008159095724
"NR4A3",237,"NR4A3","OK","T2D",0.616730420646611,0.115569093554754,5.33646498104979,1.17501561697033e-07,0.86205019600378,"count",8.52277994175813e-05
"KLF4",221,"KLF4","OK","T2D",0.559867160276512,0.122585078179094,4.56717219251235,5.5659507559229e-06,0.784896743322046,"count",0.00215315712798013
