"gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"HES4",167,"HES4","OK","T2D",0.879346118678238,0.159206009429361,5.5233224036584,3.51350371373964e-08,1.06480110436599,"count",5.31852805641562e-06
"RPL22",4506,"RPL22","OK","T2D",-0.0255316601714261,0.00787671637430116,-3.24140910477956,0.00119805129560302,-0.0367055540977802,"count",0.0349927465668748
"PARK7",2486,"PARK7","OK","T2D",-0.137459869867678,0.0352151050084284,-3.90343489916554,9.62216457169422e-05,-0.195147902355015,"count",0.00467884471687299
"ENO1",2488,"ENO1","OK","T2D",-0.111623759162815,0.0340027016665013,-3.28279088696013,0.00103568157264431,-0.158530264835752,"count",0.0316300786256003
"TARDBP",1050,"TARDBP","OK","T2D",0.203449504800367,0.0616983685558977,3.29748597187047,0.000983103882323723,0.282154550643734,"count",0.0304820488234348
"PRDM2",2240,"PRDM2","OK","T2D",0.156801897300268,0.0353689069124966,4.43332607615496,9.49959593907904e-06,0.222544036721785,"count",0.000700715958082576
"EIF4G3",1001,"EIF4G3","OK","T2D",0.259488907400484,0.062510749991344,4.15110852831578,3.36976465765595e-05,0.35964351621791,"count",0.00202278838484396
"RPL11",4511,"RPL11","OK","T2D",-0.0249879129119732,0.00718147078709523,-3.47949795421787,0.000507108988276315,-0.0359598243308194,"count",0.0180896583358895
"RUNX3",1006,"RUNX3","OK","T2D",-0.26458795650287,0.0697043866634917,-3.79585803946899,0.000149065801122775,-0.364353909050904,"count",0.00675764965089913
"RSRP1",2886,"RSRP1","OK","T2D",-0.131950309469297,0.0299903540862024,-4.39975830528799,1.10873027331727e-05,-0.187982542824487,"count",0.00079755275197963
"ATP5IF1",2739,"ATP5IF1","OK","T2D",-0.136811013551024,0.0321115056410592,-4.26049824882989,2.08131767241343e-05,-0.194609074842969,"count",0.00134191029782863
"SESN2",110,"SESN2","OK","T2D",0.614072554709303,0.195838109349259,3.13561316921296,0.00172598340885352,0.637667535322817,"count",0.045046355594186
"RCC1",382,"RCC1","OK","T2D",0.412875636097365,0.109807478962009,3.75999558500211,0.000172068964131562,0.536676195440721,"count",0.00760247849645236
"AL137857.1",479,"AL137857.1","OK","T2D",0.510009267475866,0.0942654075808716,5.41035445095086,6.61578237637983e-08,0.677552251591429,"count",8.92771624868373e-06
"LAPTM5",4440,"LAPTM5","OK","T2D",0.0411253681241591,0.0101970429675534,4.03306804286482,5.59635127496964e-05,0.0590784360052419,"count",0.00304441509358348
"LCK",271,"LCK","OK","T2D",-0.522063674607909,0.161455505481213,-3.23348326247479,0.00123171611412814,-0.629398473628264,"count",0.0355881080261044
"RNF19B",296,"RNF19B","OK","T2D",0.399404149445665,0.118291646634661,3.37643579076389,0.000740527605000112,0.500901618090376,"count",0.0241859372379774
"SFPQ",3252,"SFPQ","OK","T2D",0.0837664667963895,0.0235054474411729,3.56370441388243,0.000369443019423147,0.119678876206415,"count",0.0140727879258603
"ADPRHL2",390,"ADPRHL2","OK","T2D",0.417690549856359,0.104727194277638,3.98836761299109,6.75836819599789e-05,0.542211913301699,"count",0.00353302322990785
"TRAPPC3",989,"TRAPPC3","OK","T2D",-0.231541681116849,0.0707532732276329,-3.27252253576898,0.00107395285564504,-0.318456652307898,"count",0.032570333294545
"LSM10",1593,"LSM10","OK","T2D",-0.260537217070306,0.0524569122772344,-4.96668991292069,7.06231676204717e-07,-0.365481845238897,"count",7.49639086547056e-05
"ZC3H12A",733,"ZC3H12A","OK","T2D",0.400499993090858,0.0737248448550224,5.43236128714043,5.85402215049595e-08,0.54727074898177,"count",8.02415886581366e-06
