"gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"HES4",94,"HES4","OK","T2D",0.887232075271825,0.208765303160107,4.24990198007849,2.18536194195683e-05,0.965250324182837,"count",0.00110268929523433
"AL139246.5",422,"AL139246.5","OK","T2D",0.293052354962492,0.0967714126091847,3.02829469014776,0.00247442758769558,0.393409585629833,"count",0.0478078084867976
"ENO1",1720,"ENO1","OK","T2D",-0.158714332408368,0.0423918813918984,-3.74397944127812,0.000183569627457464,-0.224937375566883,"count",0.00642973858104534
"CLSTN1",362,"CLSTN1","OK","T2D",0.312258890357623,0.103517911184909,3.01647209437844,0.00257277070198615,0.413922240802535,"count",0.0493246612116464
"PRDM2",1592,"PRDM2","OK","T2D",0.19154999782264,0.0423086212840174,4.52744599113184,6.13655850316017e-06,0.271482513614919,"count",0.000380160891185097
"RNU1-1",132,"RNU1-1","OK","T2D",0.542397484974334,0.178078427163613,3.04583488080785,0.00233485161466452,0.630224997975774,"count",0.0456686482113258
"MICOS10",1231,"MICOS10","OK","T2D",-0.20471523581275,0.0547827026769045,-3.73685900493286,0.000188826633351828,-0.287720288751578,"count",0.00654799608244745
"DDOST",1372,"DDOST","OK","T2D",-0.169002937116987,0.0504050980755881,-3.3528937264153,0.000806839843309022,-0.238233863054625,"count",0.020655099988711
"RPL11",4174,"RPL11","OK","T2D",-0.0208221676915566,0.00611600515090218,-3.40453730463015,0.000669014004583553,-0.0299708196768257,"count",0.0178897016770975
"SRSF10",2333,"SRSF10","OK","T2D",0.196552827799145,0.0310611891687538,6.32792346523773,2.74669674781749e-10,0.280287725641271,"count",3.95161132115759e-08
"RUNX3",453,"RUNX3","OK","T2D",-0.441637257787726,0.103221000274166,-4.2785601439115,1.92323103233649e-05,-0.588756453876081,"count",0.000989719645388472
"RSRP1",2508,"RSRP1","OK","T2D",-0.160184954871421,0.0299965659687883,-5.34010976583438,9.78355386762426e-08,-0.228616479782623,"count",9.46178365153351e-06
"SH3BGRL3",3794,"SH3BGRL3","OK","T2D",-0.0530445666527548,0.0154438769508501,-3.43466649090563,0.000599066745135469,-0.0761277148020952,"count",0.0164748086877065
"ATP5IF1",1879,"ATP5IF1","OK","T2D",-0.144149577605129,0.0397550177659901,-3.62594675353023,0.000291343362194842,-0.204668277198125,"count",0.00922128227106874
"RCC1",305,"RCC1","OK","T2D",0.530009996959176,0.115603605321039,4.58471857765422,4.67907630124434e-06,0.694798132721899,"count",0.000310890687984967
"AL137857.1",463,"AL137857.1","OK","T2D",0.378152690232592,0.0905117650182472,4.17793963200648,3.0018032098176e-05,0.510934495834984,"count",0.0014145307371669
"LAPTM5",4156,"LAPTM5","OK","T2D",0.0385559133821251,0.00750521084504901,5.13721921717355,2.9157082314708e-07,0.0554361480042594,"count",2.55058537152983e-05
"LCK",342,"LCK","OK","T2D",-0.425364466161049,0.121436225388446,-3.50278069662005,0.000465258568820781,-0.555155165760919,"count",0.0134093065662784
"SFPQ",2796,"SFPQ","OK","T2D",0.163806896940808,0.0246717266364169,6.63945816824265,3.55276604672962e-11,0.234251158596998,"count",5.78005152724011e-09
"LSM10",1419,"LSM10","OK","T2D",-0.398042144867403,0.0517799851173124,-7.68718152323917,1.86354326643101e-14,-0.561117084191929,"count",4.70153060609145e-12
"ZC3H12A",592,"ZC3H12A","OK","T2D",0.708833701775843,0.0768028875642131,9.22925848566832,4.22706313861418e-20,0.972614017723156,"count",1.83961787792489e-17
"MEAF6",1193,"MEAF6","OK","T2D",-0.192847593635497,0.0558974139793866,-3.45002711049591,0.000566086074615183,-0.270794710181232,"count",0.0156917617625814
"AKIRIN1",708,"AKIRIN1","OK","T2D",0.224536867824807,0.071727266639723,3.13042554587542,0.00175759496381097,0.30993729318591,"count",0.0365546154480542
"SVBP",622,"SVBP","OK","T2D",-0.261872201829996,0.085737666272106,-3.05434254530432,0.00226978311224308,-0.358256759386555,"count",0.0448494715299972
"ARMH1",552,"ARMH1","OK","T2D",-0.402878710457653,0.0940464241078074,-4.28382805917027,1.8784270397089e-05,-0.547649887386564,"count",0.000974383738810422
"BEND5",467,"BEND5","OK","T2D",-0.429757063359787,0.103007484471713,-4.17209550901911,3.07953151346437e-05,-0.575953097856454,"count",0.00144497263036086
"KTI12",116,"KTI12","OK","T2D",-0.79041457085646,0.235474497930368,-3.35668863424095,0.000795877259958132,-0.834505653846735,"count",0.0204345595005179
"JUN",4101,"JUN","OK","T2D",-0.0345488482415088,0.00948003435531544,-3.64438006726603,0.000271300168769699,-0.0497063677995911,"count",0.00876213977354902
"PDE4B",2549,"PDE4B","OK","T2D",0.198690293481202,0.0279546549116829,7.10759242455056,1.38251198147949e-12,0.283936305260594,"count",2.70413130040393e-10
"GNG5",1704,"GNG5","OK","T2D",-0.164632161299319,0.0433895424550828,-3.79428203166114,0.000150170245501996,-0.233285387556868,"count",0.00542357600352437
"GTF2B",1055,"GTF2B","OK","T2D",0.430568587725822,0.055540181745163,7.75237988419656,1.12545398741576e-14,0.603822345732575,"count",2.92416462879605e-12
"RPL5",4172,"RPL5","OK","T2D",-0.0242200799378685,0.00669013955519487,-3.62026527818269,0.000297795528411313,-0.0348428069155543,"count",0.00936910447316773
"AGL",313,"AGL","OK","T2D",-0.468078740819972,0.129011667446984,-3.62818921794282,0.000288832952619849,-0.604294923094329,"count",0.0091751898525663
"MFSD14A",604,"MFSD14A","OK","T2D",0.322217065075353,0.0784819190849929,4.10562163657599,4.1094558777272e-05,0.441631068177432,"count",0.00187176989524056
"S1PR1",774,"S1PR1","OK","T2D",0.258580662486616,0.0683781384996485,3.78162769798048,0.000157987109801529,0.359137082404577,"count",0.0056357369004611
"TAF13",114,"TAF13","OK","T2D",0.827102452054735,0.188445212527687,4.3890871036759,1.16642644233978e-05,0.920918891589592,"count",0.000659258165852302
"CD53",2685,"CD53","OK","T2D",-0.167885851853717,0.0277574724584774,-6.04831193131359,1.59204490341415e-09,-0.23977076675507,"count",2.0995695211086e-07
"DRAM2",1454,"DRAM2","OK","T2D",-0.226743688701776,0.0488229242313418,-4.64420540702104,3.5189570375449e-06,-0.320050697650539,"count",0.000241173244525912
"CHI3L2",510,"CHI3L2","OK","T2D",-0.429272280840801,0.0988020412204278,-4.34477137859017,1.42736623901513e-05,-0.58044973398568,"count",0.000766900971875783
"ATP5PB",1533,"ATP5PB","OK","T2D",-0.186525708859523,0.0467941428400474,-3.98609094084935,6.83190951369764e-05,-0.263718136061708,"count",0.00283842197647849
"DDX20",302,"DDX20","OK","T2D",0.397271098787594,0.114218974101143,3.47815327456719,0.000510039625254785,0.517999127378965,"count",0.0144135873318755
"BCAS2",1811,"BCAS2","OK","T2D",0.211206302530336,0.0382066285575325,5.5280015668563,3.43683406131592e-08,0.299983357140672,"count",3.625964081175e-06
"CSDE1",2498,"CSDE1","OK","T2D",0.167306805339557,0.0282987599781755,5.9121603020269,3.64649716785806e-09,0.238816463172782,"count",4.5998712100053e-07
"TENT5C",2219,"TENT5C","OK","T2D",0.309447770727863,0.0314337617176871,9.84443966672126,1.27542546454963e-22,0.441331591776376,"count",7.16213112479999e-20
"AC253572.2",468,"AC253572.2","OK","T2D",-0.629050007823091,0.111435521883576,-5.64496847316157,1.76182885673459e-08,-0.845349769453736,"count",1.96602030372024e-06
"TXNIP",3848,"TXNIP","OK","T2D",0.0552961691670502,0.0140413705366612,3.93808916463496,8.34738833550407e-05,0.0794350563886171,"count",0.00334049048607942
"AC239799.2",241,"AC239799.2","OK","T2D",-0.509138509240216,0.151535879119129,-3.35985452554084,0.000786837729680825,-0.639243751978864,"count",0.0202922536270871
"LINC01138",1236,"LINC01138","OK","T2D",0.318923769806252,0.051852429951563,6.15060412991578,8.44326512163559e-10,0.449778551891495,"count",1.15732566328687e-07
"MCL1",1412,"MCL1","OK","T2D",0.464171084903286,0.0444368519985573,10.4456338382916,3.13337591327798e-25,0.656894338028267,"count",2.09791568839781e-22
"POGZ",769,"POGZ","OK","T2D",0.221897121697661,0.0688416895516235,3.22329569687948,0.00127700183180764,0.307595732135653,"count",0.0288701920624771
"ILF2",1633,"ILF2","OK","T2D",0.134449774417767,0.0420667331116845,3.19610686336901,0.0014033474122656,0.190454240289878,"count",0.0308842879301132
"JTB",2051,"JTB","OK","T2D",-0.121485993966949,0.0365064478414628,-3.32779553065609,0.000882945749110911,-0.172741730383078,"count",0.0220662533274853
"RPS27",4174,"RPS27","OK","T2D",0.0277264086145506,0.00610294221128941,4.54312160506148,5.69936560318667e-06,0.0399188469863328,"count",0.000359481260515234
"HAX1",1150,"HAX1","OK","T2D",-0.268213166988481,0.0580067508123835,-4.62382676554298,3.8812366770262e-06,-0.376186713536312,"count",0.000263924094037782
"FLAD1",290,"FLAD1","OK","T2D",-0.45013560717029,0.13370754187487,-3.36656856343637,0.000767981807400428,-0.576547288803334,"count",0.0199095163174432
"KRTCAP2",2051,"KRTCAP2","OK","T2D",-0.117016844866295,0.0367632553130587,-3.18298376653086,0.00146836888671362,-0.166402924955799,"count",0.0319916965956329
"MTX1",424,"MTX1","OK","T2D",0.295014847885874,0.0965831771167938,3.05451587629101,0.00226847488374602,0.395849455854381,"count",0.0448494715299972
"ASH1L",1177,"ASH1L","OK","T2D",0.16579242633163,0.0525895535646738,3.15257337424895,0.0016298596336363,0.233190424233552,"count",0.0344746008533909
"SSR2",2672,"SSR2","OK","T2D",-0.0887669802407756,0.0279074376143894,-3.18076426318001,0.00147963668149526,-0.126762889024764,"count",0.0321009425993731
"LMNA",157,"LMNA","OK","T2D",1.23970799955803,0.16362122196995,7.57669442039564,4.34019032778471e-14,1.46516441362669,"count",1.00738710968102e-11
"MEF2D",438,"MEF2D","OK","T2D",0.3747751869532,0.0934806161586798,4.00912191589573,6.20099677199588e-05,0.503995247022211,"count",0.00261372764665628
"ETV3",311,"ETV3","OK","T2D",0.409659930954824,0.111570858708708,3.67174668812376,0.000243914924203069,0.536266421116951,"count",0.00810318893230348
