source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,2.0812101521652018e-37,True,Eukaryotic Translation Elongation,92,277,37,14624,0.13357400722021662,0.40217391304347827,query_1,['REAC:R-HSA-72766'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'EEF1B2', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'EEF1A1', 'RPL30', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'EEF1G', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,2.4436166666952317e-37,True,Formation of a pool of free 40S subunits,100,277,38,14624,0.1371841155234657,0.38,query_1,['REAC:R-HSA-72737'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'EIF3E', 'EIF3H', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,5.612541123044559e-37,True,L13a-mediated translational silencing of Ceruloplasmin expression,110,277,39,14624,0.1407942238267148,0.35454545454545455,query_1,['REAC:R-HSA-72613'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'EIF4A2', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'EIF3E', 'EIF3H', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,8.514448307200305e-37,True,GTP hydrolysis and joining of the 60S ribosomal subunit,111,277,39,14624,0.1407942238267148,0.35135135135135137,query_1,['REAC:R-HSA-72737'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'EIF4A2', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'EIF3E', 'EIF3H', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72737,Cap-dependent Translation Initiation,1.3834836262644444e-35,True,Cap-dependent Translation Initiation,118,277,39,14624,0.1407942238267148,0.3305084745762712,query_1,['REAC:R-HSA-72613'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'EIF4A2', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'EIF3E', 'EIF3H', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72613,Eukaryotic Translation Initiation,1.3834836262644444e-35,True,Eukaryotic Translation Initiation,118,277,39,14624,0.1407942238267148,0.3305084745762712,query_1,['REAC:R-HSA-72766'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'EIF4A2', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'EIF3E', 'EIF3H', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-156902,Peptide chain elongation,4.601298748644997e-35,True,Peptide chain elongation,88,277,35,14624,0.1263537906137184,0.3977272727272727,query_1,['REAC:R-HSA-156842'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'EEF1A1', 'RPL30', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-192823,Viral mRNA Translation,4.601298748644997e-35,True,Viral mRNA Translation,88,277,35,14624,0.1263537906137184,0.3977272727272727,query_1,['REAC:R-HSA-168273'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'GRSF1', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,8.32117962099121e-34,True,SRP-dependent cotranslational protein targeting to membrane,111,277,37,14624,0.13357400722021662,0.3333333333333333,query_1,['REAC:R-HSA-72766'],"['RPL22', 'RPL11', 'RPL5', 'SSR2', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'SPCS1', 'RPL24', 'SSR3', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,6.944102766838034e-33,True,Selenocysteine synthesis,91,277,34,14624,0.12274368231046931,0.37362637362637363,query_1,['REAC:R-HSA-2408522'],"['RPL22', 'RPL11', 'RPL5', 'RPS7', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPL30', 'RPS6', 'RPL35', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'RPS3', 'RPS25', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPL18', 'RPS9', 'RPS5', 'RPL3', 'RPS4X', 'RPL10']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
