source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,7.779084794622115e-50,True,Eukaryotic Translation Elongation,92,343,47,14624,0.13702623906705538,0.5108695652173914,query_1,['REAC:R-HSA-72766'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'EEF1B2', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'EEF1A1', 'RPS12', 'RPL30', 'EEF1D', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'EEF1G', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,1.39020554630357e-47,True,Formation of a pool of free 40S subunits,100,343,47,14624,0.13702623906705538,0.47,query_1,['REAC:R-HSA-72737'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'EIF3E', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'EIF3F', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-156902,Peptide chain elongation,6.022073520286922e-46,True,Peptide chain elongation,88,343,44,14624,0.1282798833819242,0.5,query_1,['REAC:R-HSA-156842'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'EEF1A1', 'RPS12', 'RPL30', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,4.170272863593626e-45,True,L13a-mediated translational silencing of Ceruloplasmin expression,110,343,47,14624,0.13702623906705538,0.42727272727272725,query_1,['REAC:R-HSA-72613'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'EIF3E', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'EIF3F', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,4.245148190842932e-45,True,Selenocysteine synthesis,91,343,44,14624,0.1282798833819242,0.4835164835164835,query_1,['REAC:R-HSA-2408522'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'RPL8', 'RPS6', 'SECISBP2', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,7.088479152723555e-45,True,GTP hydrolysis and joining of the 60S ribosomal subunit,111,343,47,14624,0.13702623906705538,0.42342342342342343,query_1,['REAC:R-HSA-72737'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'EIF3E', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'EIF3F', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-192823,Viral mRNA Translation,2.7972663513516473e-44,True,Viral mRNA Translation,88,343,43,14624,0.12536443148688048,0.48863636363636365,query_1,['REAC:R-HSA-168273'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72613,Eukaryotic Translation Initiation,2.4402614189003638e-43,True,Eukaryotic Translation Initiation,118,343,47,14624,0.13702623906705538,0.3983050847457627,query_1,['REAC:R-HSA-72766'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'EIF3E', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'EIF3F', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72737,Cap-dependent Translation Initiation,2.4402614189003638e-43,True,Cap-dependent Translation Initiation,118,343,47,14624,0.13702623906705538,0.3983050847457627,query_1,['REAC:R-HSA-72613'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'EIF3E', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'EIF3F', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'EIF3G', 'RPL18A', 'EIF3K', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72764,Eukaryotic Translation Termination,3.4003499666571766e-43,True,Eukaryotic Translation Termination,92,343,43,14624,0.12536443148688048,0.4673913043478261,query_1,['REAC:R-HSA-72766'],"['RPL11', 'RPL5', 'RPS7', 'RPS27A', 'RPL32', 'RPL14', 'RPL29', 'RPL24', 'RPS3A', 'RPS23', 'RPS14', 'RPS18', 'RPS10', 'RPS12', 'RPL30', 'RPL8', 'RPS6', 'RPL35', 'RPL12', 'RPL7A', 'RPS24', 'RPL27A', 'RPS13', 'FAU', 'RPS3', 'RPS25', 'RPS26', 'RPLP1', 'RPS15A', 'RPL13', 'RPL26', 'RPL19', 'RPS15', 'RPL18A', 'RPS19', 'RPL18', 'RPS9', 'RPL28', 'RPS5', 'RPL3', 'RPS4X', 'RPL10', 'RPS4Y1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
