source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-2262752,Cellular responses to stress,1.7288468082897662e-09,True,Cellular responses to stress,700,497,62,14624,0.12474849094567404,0.08857142857142856,query_1,['REAC:R-HSA-8953897'],"['TXNIP', 'RPS27', 'LMNA', 'MEF2D', 'ATF3', 'GFPT1', 'NFE2L2', 'RPL37A', 'EDEM1', 'AREG', 'NFKB1', 'RPL37', 'HSPA4', 'CREBRF', 'SQSTM1', 'TUBB2A', 'HIST1H1E', 'CDKN1A', 'HSP90AB1', 'SOD2', 'MIOS', 'IL6', 'CYCS', 'DNAJB9', 'RPS20', 'RPL7', 'DNAJA1', 'HSPA5', 'TUBB4B', 'ATM', 'SRPRA', 'TUBA1A', 'SP1', 'HSP90B1', 'UBC', 'RPL21', 'HSPH1', 'RPS29', 'HIF1A', 'HSP90AA1', 'EIF2AK4', 'RPS17', 'ATP6V0C', 'CREBBP', 'HERPUD1', 'DYNC1LI2', 'KDM6B', 'UBB', 'RPL23', 'RPL38', 'BCL2', 'DNAJB1', 'CEBPG', 'PPP1R15A', 'RPL13A', 'UBE2S', 'HSPA13', 'BACH1', 'ATF4', 'TNRC6B', 'TSPYL2', 'RPL36A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,2.8198441935721546e-09,True,Cellular responses to stimuli,708,497,62,14624,0.12474849094567404,0.08757062146892655,query_1,['REAC:0000000'],"['TXNIP', 'RPS27', 'LMNA', 'MEF2D', 'ATF3', 'GFPT1', 'NFE2L2', 'RPL37A', 'EDEM1', 'AREG', 'NFKB1', 'RPL37', 'HSPA4', 'CREBRF', 'SQSTM1', 'TUBB2A', 'HIST1H1E', 'CDKN1A', 'HSP90AB1', 'SOD2', 'MIOS', 'IL6', 'CYCS', 'DNAJB9', 'RPS20', 'RPL7', 'DNAJA1', 'HSPA5', 'TUBB4B', 'ATM', 'SRPRA', 'TUBA1A', 'SP1', 'HSP90B1', 'UBC', 'RPL21', 'HSPH1', 'RPS29', 'HIF1A', 'HSP90AA1', 'EIF2AK4', 'RPS17', 'ATP6V0C', 'CREBBP', 'HERPUD1', 'DYNC1LI2', 'KDM6B', 'UBB', 'RPL23', 'RPL38', 'BCL2', 'DNAJB1', 'CEBPG', 'PPP1R15A', 'RPL13A', 'UBE2S', 'HSPA13', 'BACH1', 'ATF4', 'TNRC6B', 'TSPYL2', 'RPL36A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:0000000,REACTOME root term,7.374561022850756e-05,True,REACTOME root term,7856,497,323,14624,0.6498993963782697,0.041115071283095724,query_1,[],"['SRSF10', 'RCC1', 'SFPQ', 'ZC3H12A', 'GTF2B', 'S1PR1', 'TAF13', 'DDX20', 'BCAS2', 'TXNIP', 'MCL1', 'ILF2', 'RPS27', 'MTX1', 'ASH1L', 'LMNA', 'MEF2D', 'TAGLN2', 'COPA', 'RGS1', 'RGS2', 'BTG2', 'CD55', 'ATF3', 'DUSP10', 'SDE2', 'EXOC8', 'HNRNPU', 'ZNF669', 'RHOB', 'YPEL5', 'SRSF7', 'REL', 'PELI1', 'GFPT1', 'MOB1A', 'KDM3A', 'DUSP2', 'CXCR4', 'NR4A2', 'WIPF1', 'NFE2L2', 'TTN', 'ZC3H15', 'COQ10B', 'HSPE1', 'NOP58', 'RPL37A', 'ARL4C', 'LRRFIP1', 'BHLHE40', 'EDEM1', 'EAF1', 'RAB5A', 'NGLY1', 'CMTM6', 'GOLGA4', 'SETD2', 'ARIH2', 'RBM5', 'GNL3', 'KBTBD8', 'RYBP', 'TRMT10C', 'GOLGB1', 'PARP14', 'SIAH2', 'KPNA4', 'SKIL', 'MRPL47', 'SENP2', 'TRA2B', 'ST6GAL1', 'HES1', 'TFRC', 'ZNF141', 'ATP5ME', 'HAUS3', 'TLR1', 'RHOH', 'CENPC', 'AREG', 'G3BP2', 'NFKB1', 'MANBA', 'INTS12', 'NOCT', 'HMGB2', 'SLC9A3', 'PTGER4', 'RPL37', 'PDE4D', 'ELL2', 'PJA2', 'IRF1', 'HSPA4', 'PPP2CA', 'EGR1', 'ETF1', 'CREBRF', 'BNIP1', 'SQSTM1', 'IRF4', 'TUBB2A', 'CARMIL1', 'HIST1H1E', 'HLA-G', 'HLA-A', 'BRD2', 'CDKN1A', 'HSP90AB1', 'AMD1', 'REV3L', 'MARCKS', 'SERINC1', 'SGK1', 'TNFAIP3', 'UTRN', 'PLEKHG1', 'SNX9', 'EZR', 'TAGAP', 'SOD2', 'MIOS', 'IL6', 'CYCS', 'HUS1', 'DBF4', 'ZNF394', 'ORAI2', 'DNAJB9', 'GCC1', 'ZC3HAV1', 'PCM1', 'TNFRSF10B', 'CHMP7', 'ZNF703', 'RPS20', 'RPL7', 'CA2', 'TMEM67', 'YWHAZ', 'RRM2B', 'RNF139', 'KHDRBS3', 'DENND3', 'TOPORS', 'DNAJA1', 'RFK', 'TLE1', 'UBQLN1', 'KIF27', 'HNRNPK', 'ISCA1', 'ZNF484', 'NR4A3', 'KLF4', 'HSPA5', 'ODF2', 'TUBB4B', 'IDI1', 'MAP3K8', 'JMJD1C', 'DDX21', 'SRGN', 'DDIT4', 'SAMD8', 'DUSP5', 'PDCD4', 'EIF3A', 'DUSP8', 'COPB1', 'SVIP', 'KIF18A', 'CD44', 'TRAF6', 'BEST1', 'SF1', 'FOSL1', 'PACS1', 'CPT1A', 'RAB30', 'TAF1D', 'BIRC3', 'BIRC2', 'ATM', 'PTS', 'RBM7', 'DDX6', 'CXCR5', 'BCL9L', 'SRPRA', 'TIGAR', 'SLC2A3', 'ATF7IP', 'WBP11', 'CCNT1', 'TUBA1A', 'NR4A1', 'SP1', 'IRAK3', 'HSP90B1', 'MED13L', 'OASL', 'VPS37B', 'UBC', 'ZNF10', 'ZDHHC20', 'MTMR6', 'RPL21', 'HSPH1', 'ELF1', 'RGCC', 'NUDT15', 'GPR18', 'GPR183', 'TPP2', 'IRS2', 'RPS29', 'GNG2', 'HIF1A', 'GPR65', 'CCNK', 'HSP90AA1', 'EIF5', 'SLC12A6', 'EIF2AK4', 'DENND4A', 'SEMA7A', 'MORF4L1', 'BCL2A1', 'RPS17', 'WHAMM', 'AKAP13', 'ATP6V0C', 'SRRM2', 'CREBBP', 'XYLT1', 'ACSM3', 'FUS', 'CYLD', 'HERPUD1', 'CNOT1', 'DYNC1LI2', 'EIF4A1', 'KDM6B', 'PER1', 'UBB', 'AP2B1', 'CWC25', 'RPL23', 'RARA', 'KLHL11', 'RPS6KB1', 'KPNA2', 'RPL38', 'CYGB', 'SOCS3', 'EIF4A3', 'ARHGDIA', 'RNMT', 'RBBP8', 'RNF138', 'TCF4', 'PMAIP1', 'BCL2', 'EEF2', 'FEM1A', 'KDM4B', 'HNRNPM', 'ICAM1', 'ZNF136', 'ZNF791', 'ADGRE5', 'DNAJB1', 'MED26', 'JUND', 'MAU2', 'ZNF14', 'CEBPG', 'ACTN4', 'HNRNPL', 'FOSB', 'PPP1R15A', 'RPL13A', 'NR1H2', 'ZNF331', 'NDUFA3', 'UBE2S', 'ZNF582', 'PRNP', 'SNRPB2', 'NXT1', 'MAPRE1', 'MMP9', 'NCOA3', 'SPATA2', 'HSPA13', 'BACH1', 'AP1B1', 'SF3A1', 'MYH9', 'JOSD1', 'ATF4', 'TNRC6B', 'TNFRSF13C', 'CENPM', 'PIGA', 'EIF1AX', 'SAT1', 'DDX3X', 'TSPYL2', 'RLIM', 'MAGT1', 'RPL36A', 'GLA', 'HNRNPH2', 'TSC22D3', 'ALG13', 'RAP2C', 'RBMX', 'MT-ATP8', 'MT-ND6']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,0.00012160412205034753,True,Response of EIF2AK4 (GCN2) to amino acid deficiency,100,497,16,14624,0.03219315895372234,0.16,query_1,['REAC:R-HSA-9711097'],"['RPS27', 'ATF3', 'RPL37A', 'RPL37', 'RPS20', 'RPL7', 'RPL21', 'RPS29', 'EIF2AK4', 'RPS17', 'RPL23', 'RPL38', 'CEBPG', 'RPL13A', 'ATF4', 'RPL36A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-5663205,Infectious disease,0.00012249917670311694,True,Infectious disease,867,497,59,14624,0.11871227364185111,0.06805074971164937,query_1,['REAC:R-HSA-1643685'],"['RCC1', 'SFPQ', 'GTF2B', 'S1PR1', 'TAF13', 'DDX20', 'TXNIP', 'RPS27', 'CXCR4', 'WIPF1', 'NFE2L2', 'RPL37A', 'RAB5A', 'PARP14', 'KPNA4', 'ST6GAL1', 'TLR1', 'G3BP2', 'NFKB1', 'RPL37', 'TUBB2A', 'HLA-G', 'HLA-A', 'HSP90AB1', 'IL6', 'CHMP7', 'RPS20', 'RPL7', 'YWHAZ', 'HNRNPK', 'TUBB4B', 'TRAF6', 'PACS1', 'CCNT1', 'TUBA1A', 'SP1', 'VPS37B', 'UBC', 'ZDHHC20', 'RPL21', 'RPS29', 'GNG2', 'CCNK', 'HSP90AA1', 'RPS17', 'CREBBP', 'DYNC1LI2', 'UBB', 'AP2B1', 'RPL23', 'KPNA2', 'RPL38', 'RNMT', 'EEF2', 'RPL13A', 'AP1B1', 'MYH9', 'MAGT1', 'RPL36A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9824446,Viral Infection Pathways,0.000178442404788195,True,Viral Infection Pathways,711,497,51,14624,0.10261569416498995,0.07172995780590717,query_1,['REAC:R-HSA-5663205'],"['RCC1', 'GTF2B', 'S1PR1', 'TAF13', 'DDX20', 'RPS27', 'CXCR4', 'NFE2L2', 'RPL37A', 'PARP14', 'KPNA4', 'ST6GAL1', 'TLR1', 'G3BP2', 'NFKB1', 'RPL37', 'TUBB2A', 'HLA-G', 'HLA-A', 'HSP90AB1', 'CHMP7', 'RPS20', 'RPL7', 'YWHAZ', 'HNRNPK', 'TUBB4B', 'TRAF6', 'PACS1', 'CCNT1', 'TUBA1A', 'SP1', 'VPS37B', 'UBC', 'ZDHHC20', 'RPL21', 'RPS29', 'CCNK', 'HSP90AA1', 'RPS17', 'CREBBP', 'DYNC1LI2', 'UBB', 'AP2B1', 'RPL23', 'KPNA2', 'RPL38', 'RNMT', 'RPL13A', 'AP1B1', 'MAGT1', 'RPL36A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,0.0005223655131637125,True,GTP hydrolysis and joining of the 60S ribosomal subunit,111,497,16,14624,0.03219315895372234,0.14414414414414414,query_1,['REAC:R-HSA-72737'],"['RPS27', 'RPL37A', 'RPL37', 'RPS20', 'RPL7', 'EIF3A', 'RPL21', 'RPS29', 'EIF5', 'RPS17', 'EIF4A1', 'RPL23', 'RPL38', 'RPL13A', 'EIF1AX', 'RPL36A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1643685,Disease,0.0009707332531279503,True,Disease,1442,497,82,14624,0.16498993963782696,0.056865464632454926,query_1,['REAC:0000000'],"['RCC1', 'SFPQ', 'GTF2B', 'S1PR1', 'TAF13', 'DDX20', 'TXNIP', 'RPS27', 'LMNA', 'DUSP10', 'GFPT1', 'CXCR4', 'WIPF1', 'NFE2L2', 'RPL37A', 'LRRFIP1', 'RAB5A', 'GOLGA4', 'GOLGB1', 'PARP14', 'KPNA4', 'ST6GAL1', 'HES1', 'TLR1', 'AREG', 'G3BP2', 'NFKB1', 'RPL37', 'PPP2CA', 'SQSTM1', 'TUBB2A', 'HLA-G', 'HLA-A', 'CDKN1A', 'HSP90AB1', 'SOD2', 'IL6', 'HUS1', 'ZC3HAV1', 'CHMP7', 'RPS20', 'RPL7', 'YWHAZ', 'HNRNPK', 'TUBB4B', 'DUSP8', 'TRAF6', 'PACS1', 'ATM', 'CCNT1', 'TUBA1A', 'NR4A1', 'SP1', 'VPS37B', 'UBC', 'ZDHHC20', 'RPL21', 'IRS2', 'RPS29', 'GNG2', 'CCNK', 'HSP90AA1', 'SLC12A6', 'BCL2A1', 'RPS17', 'CREBBP', 'DYNC1LI2', 'UBB', 'AP2B1', 'RPL23', 'KPNA2', 'RPL38', 'RNMT', 'RBBP8', 'EEF2', 'RPL13A', 'UBE2S', 'AP1B1', 'MYH9', 'MAGT1', 'RPL36A', 'ALG13']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",0.000975582387596083,True,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",55,497,11,14624,0.022132796780684104,0.2,query_1,['REAC:R-HSA-168249'],"['TXNIP', 'NFKB1', 'HSP90AB1', 'TNFAIP3', 'TRAF6', 'BIRC3', 'BIRC2', 'UBC', 'CYLD', 'UBB', 'BCL2']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-8953854,Metabolism of RNA,0.0010846153239223947,True,Metabolism of RNA,693,497,48,14624,0.096579476861167,0.06926406926406926,query_1,['REAC:0000000'],"['SRSF10', 'DDX20', 'BCAS2', 'RPS27', 'SDE2', 'HNRNPU', 'SRSF7', 'NOP58', 'RPL37A', 'RBM5', 'GNL3', 'TRMT10C', 'TRA2B', 'RPL37', 'PPP2CA', 'ETF1', 'RPS20', 'RPL7', 'YWHAZ', 'HNRNPK', 'DDX21', 'SF1', 'RBM7', 'DDX6', 'WBP11', 'UBC', 'RPL21', 'RPS29', 'RPS17', 'SRRM2', 'FUS', 'CNOT1', 'EIF4A1', 'UBB', 'CWC25', 'RPL23', 'RPL38', 'EIF4A3', 'RNMT', 'HNRNPM', 'HNRNPL', 'RPL13A', 'SNRPB2', 'NXT1', 'SF3A1', 'RPL36A', 'HNRNPH2', 'RBMX']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
