source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,3.167987075366596e-06,True,Cellular responses to stimuli,708,364,45,14624,0.12362637362637363,0.0635593220338983,query_1,['REAC:0000000'],"['SESN2', 'LMNA', 'MEF2D', 'ATF3', 'RANBP2', 'NFE2L2', 'TUBA4A', 'UBXN7', 'AREG', 'NFKB1', 'CAMK2D', 'HSPA4', 'DCTN4', 'CREBRF', 'SQSTM1', 'HIST1H1E', 'CDKN1A', 'HSP90AB1', 'IL6', 'CYCS', 'DCTN6', 'RPS20', 'DNAJA1', 'HSPA5', 'TUBB4B', 'HSP90B1', 'UBC', 'RPL21', 'RPS29', 'HSPA2', 'RORA', 'ATP6V0C', 'CREBBP', 'MT2A', 'HERPUD1', 'KDM6B', 'RPL38', 'CBX4', 'TUBB6', 'CALR', 'RPL13A', 'UBE2S', 'ID1', 'HSPA13', 'BACH1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-2262752,Cellular responses to stress,6.604244935705849e-06,True,Cellular responses to stress,700,364,44,14624,0.12087912087912088,0.06285714285714286,query_1,['REAC:R-HSA-8953897'],"['SESN2', 'LMNA', 'MEF2D', 'ATF3', 'RANBP2', 'NFE2L2', 'TUBA4A', 'UBXN7', 'AREG', 'NFKB1', 'CAMK2D', 'HSPA4', 'DCTN4', 'CREBRF', 'SQSTM1', 'HIST1H1E', 'CDKN1A', 'HSP90AB1', 'IL6', 'CYCS', 'DCTN6', 'RPS20', 'DNAJA1', 'HSPA5', 'TUBB4B', 'HSP90B1', 'UBC', 'RPL21', 'RPS29', 'HSPA2', 'RORA', 'ATP6V0C', 'CREBBP', 'HERPUD1', 'KDM6B', 'RPL38', 'CBX4', 'TUBB6', 'CALR', 'RPL13A', 'UBE2S', 'ID1', 'HSPA13', 'BACH1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-400253,Circadian Clock,1.5688593606001714e-05,True,Circadian Clock,62,364,12,14624,0.03296703296703297,0.1935483870967742,query_1,['REAC:0000000'],"['MEF2D', 'PPP1CB', 'BHLHE40', 'NOCT', 'NAMPT', 'CRY2', 'CPT1A', 'UBC', 'RORA', 'CREBBP', 'PER1', 'SIK1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-162582,Signal Transduction,0.0001356513292629352,True,Signal Transduction,1869,364,81,14624,0.22252747252747251,0.04333868378812199,query_1,['REAC:0000000'],"['SFPQ', 'KDM4A', 'MKNK1', 'MEF2D', 'RGS1', 'RGS2', 'CD55', 'DUSP10', 'RHOB', 'PPP1CB', 'VRK2', 'ARHGAP25', 'EGR4', 'DUSP2', 'RANBP2', 'BCL2L11', 'CXCR4', 'WIPF1', 'TUBA4A', 'FARP2', 'SKIL', 'HES1', 'RHOH', 'AREG', 'NFKB1', 'CAMK2D', 'ARHGAP26', 'DOCK2', 'SQSTM1', 'DSP', 'CDKN1A', 'HSP90AB1', 'SGK1', 'TNFAIP3', 'TAGAP', 'IL6', 'YWHAG', 'DUSP4', 'LYN', 'YWHAZ', 'AGO2', 'TLE1', 'FNBP1', 'RAPGEF1', 'TUBB4B', 'EGR2', 'PSAP', 'DUSP5', 'DUSP8', 'TRAF6', 'CPT1A', 'BIRC2', 'CXCR5', 'BCL9L', 'NR4A1', 'UBC', 'GPR18', 'GPR183', 'ARHGEF7', 'GNG2', 'GPR65', 'RPS6KA5', 'ATP6V0C', 'CREBBP', 'CYLD', 'AP2B1', 'GNA13', 'KPNA2', 'SOCS3', 'CBX4', 'TUBB6', 'S1PR2', 'ADGRE5', 'JUND', 'FOSB', 'NR1H2', 'ID1', 'NCOA3', 'PTPN1', 'PDK3', 'WNT16']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,0.00018333901250360175,True,Cytokine Signaling in Immune system,654,364,39,14624,0.10714285714285714,0.05963302752293578,query_1,['REAC:R-HSA-168256'],"['EIF4G3', 'MCL1', 'RANBP2', 'BCL2L11', 'TUBA4A', 'NFKB1', 'CAMK2D', 'IRF1', 'SQSTM1', 'IRF4', 'HLA-DRB5', 'CDKN1A', 'FSCN1', 'IL6', 'DUSP4', 'LYN', 'YWHAZ', 'RAPGEF1', 'TUBB4B', 'MAP3K8', 'IFITM1', 'TRAF6', 'BIRC2', 'IRAK3', 'HSP90B1', 'UBC', 'HSPA2', 'RPS6KA5', 'RORA', 'MT2A', 'EIF4A1', 'KPNA2', 'SOCS3', 'EIF4A3', 'TUBB6', 'TNFSF9', 'ICAM1', 'RELB', 'PTPN1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-913531,Interferon Signaling,0.0023576365185626327,True,Interferon Signaling,230,364,19,14624,0.0521978021978022,0.08260869565217391,query_1,['REAC:R-HSA-1280215'],"['EIF4G3', 'RANBP2', 'TUBA4A', 'CAMK2D', 'IRF1', 'IRF4', 'HLA-DRB5', 'TUBB4B', 'IFITM1', 'UBC', 'HSPA2', 'MT2A', 'EIF4A1', 'KPNA2', 'SOCS3', 'EIF4A3', 'TUBB6', 'ICAM1', 'PTPN1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-168256,Immune System,0.0025527254266838858,True,Immune System,1719,364,72,14624,0.1978021978021978,0.041884816753926704,query_1,['REAC:0000000'],"['EIF4G3', 'RNF19B', 'MCL1', 'CD55', 'YPEL5', 'REL', 'FBXO41', 'RANBP2', 'BCL2L11', 'WIPF1', 'TUBA4A', 'CBLB', 'NFKB1', 'MANBA', 'CAMK2D', 'IRF1', 'DCTN4', 'DOCK2', 'SQSTM1', 'IRF4', 'DSP', 'HLA-DRB5', 'CDKN1A', 'HSP90AB1', 'TNFAIP3', 'DYNLT1', 'FSCN1', 'IL6', 'DUSP4', 'DCTN6', 'LYN', 'YWHAZ', 'HSPA5', 'RAPGEF1', 'TUBB4B', 'MAP3K8', 'PSAP', 'IFITM1', 'SVIP', 'TRAF6', 'BIRC2', 'SLC2A3', 'IRAK3', 'HSP90B1', 'UBC', 'HSPA2', 'RPS6KA5', 'RORA', 'ATP6V0C', 'CREBBP', 'ALDOA', 'CYLD', 'MT2A', 'EIF4A1', 'AP2B1', 'KPNA2', 'SOCS3', 'EIF4A3', 'RNF213', 'TUBB6', 'RNF138', 'TNFSF9', 'ICAM1', 'CALR', 'ADGRE5', 'RELB', 'LILRA4', 'UBE2S', 'PTPN1', 'DDX3X', 'RLIM', 'GLA']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:0000000,REACTOME root term,0.0041711662058776635,True,REACTOME root term,7856,364,236,14624,0.6483516483516484,0.03004073319755601,query_1,[],"['EIF4G3', 'SESN2', 'RCC1', 'RNF19B', 'SFPQ', 'ZC3H12A', 'KDM4A', 'MKNK1', 'PLPP3', 'CTH', 'GTF2B', 'TAF13', 'BCAS2', 'MCL1', 'LMNA', 'MEF2D', 'RGS1', 'RGS2', 'BTG2', 'CD55', 'ATF3', 'DUSP10', 'SDE2', 'ODC1', 'RHOB', 'PPP1CB', 'YPEL5', 'SRSF7', 'VRK2', 'REL', 'ARHGAP25', 'FBXO41', 'EGR4', 'DUSP2', 'RANBP2', 'BCL2L11', 'CXCR4', 'PRPF40A', 'NR4A2', 'WIPF1', 'NFE2L2', 'TTN', 'NOP58', 'TUBA4A', 'FARP2', 'BHLHE40', 'GOLGA4', 'RBM5', 'CBLB', 'GOLGB1', 'ATP1B3', 'CHST2', 'SKIL', 'ST6GAL1', 'HES1', 'UBXN7', 'RHOH', 'AREG', 'G3BP2', 'NFKB1', 'MANBA', 'CAMK2D', 'NOCT', 'MSMO1', 'HMGB2', 'JMY', 'ELL2', 'FEM1C', 'IRF1', 'HSPA4', 'ETF1', 'ARHGAP26', 'DCTN4', 'DOCK2', 'CREBRF', 'SQSTM1', 'IRF4', 'DSP', 'HIST1H1E', 'HLA-DRB5', 'CDKN1A', 'HSP90AB1', 'AMD1', 'SERINC1', 'SGK1', 'TNFAIP3', 'ULBP2', 'SNX9', 'DYNLT1', 'EZR', 'TAGAP', 'WTAP', 'FSCN1', 'IL6', 'CYCS', 'YWHAG', 'DBF4', 'NAMPT', 'PNPLA8', 'GCC1', 'KMT2C', 'INSIG1', 'DUSP4', 'DCTN6', 'ZNF703', 'LYN', 'RPS20', 'YWHAZ', 'RNF139', 'AGO2', 'MAFA', 'DNAJA1', 'SMC5', 'TLE1', 'ISCA1', 'ZNF484', 'NR4A3', 'KLF4', 'HSPA5', 'FNBP1', 'RAPGEF1', 'TUBB4B', 'IDI1', 'MAP3K8', 'EGR2', 'DDX21', 'SRGN', 'PSAP', 'DDIT4', 'DUSP5', 'IFITM1', 'DUSP8', 'SVIP', 'TRAF6', 'CRY2', 'BEST1', 'CPT1A', 'UVRAG', 'BIRC2', 'CXCR5', 'BCL9L', 'SLC2A3', 'ATF7IP', 'WBP11', 'NR4A1', 'IRAK3', 'RAB21', 'CHPT1', 'HSP90B1', 'MED13L', 'VPS37B', 'UBC', 'MTMR6', 'RPL21', 'ELF1', 'RGCC', 'GPR18', 'GPR183', 'ARHGEF7', 'RPS29', 'GNG2', 'HSPA2', 'GPR65', 'RPS6KA5', 'EIF5', 'RORA', 'RAB8B', 'SEMA7A', 'MORF4L1', 'BCL2A1', 'ATP6V0C', 'SRRM2', 'CREBBP', 'XYLT1', 'ALDOA', 'CYLD', 'MT2A', 'HERPUD1', 'CNOT1', 'DHX38', 'TSR1', 'EIF4A1', 'KDM6B', 'PER1', 'AP2B1', 'CWC25', 'GNA13', 'KPNA2', 'RPL38', 'SOCS3', 'CBX4', 'EIF4A3', 'RNF213', 'WDR45B', 'TUBB6', 'RNMT', 'RBBP8', 'RNF138', 'TNFSF9', 'S1PR2', 'ICAM1', 'ZNF791', 'CALR', 'ADGRE5', 'JUND', 'ZNF14', 'ZNF100', 'HNRNPL', 'RELB', 'FOSB', 'RPL13A', 'NR1H2', 'ZNF468', 'ZNF331', 'NDUFA3', 'LILRA4', 'UBE2S', 'ID1', 'NCOA3', 'PTPN1', 'HSPA13', 'USP16', 'BACH1', 'SIK1', 'LGALS1', 'SREBF2', 'SAT1', 'PDK3', 'DDX3X', 'RLIM', 'GLA', 'TSC22D3', 'ALG13', 'MT-ATP8', 'MT-ND6', 'WNT16']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-198725,Nuclear Events (kinase and transcription factor activation),0.004225468151759002,True,Nuclear Events (kinase and transcription factor activation),56,364,9,14624,0.024725274725274724,0.16071428571428573,query_1,['REAC:R-HSA-187037'],"['MEF2D', 'EGR4', 'SGK1', 'DUSP4', 'EGR2', 'RPS6KA5', 'JUND', 'FOSB', 'ID1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-112409,RAF-independent MAPK1/3 activation,0.004256249781981591,True,RAF-independent MAPK1/3 activation,21,364,6,14624,0.016483516483516484,0.2857142857142857,query_1,['REAC:R-HSA-5684996'],"['DUSP10', 'DUSP2', 'IL6', 'DUSP4', 'DUSP5', 'DUSP8']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
